postgres | 2025-08-13 00:45:46.008 | 
postgres | 2025-08-13 00:45:46.011 | 
postgres | 2025-08-13 00:45:46.011 | /usr/local/bin/docker-entrypoint.sh: running /docker-entrypoint-initdb.d/01-create-default-users.sql
postgres | 2025-08-13 00:45:46.054 | 
postgres | 2025-08-13 00:45:46.054 | 
postgres | 2025-08-13 00:45:46.056 | waiting for server to shut down...2025-08-12 19:15:46.056 UTC [41] LOG:  received fast shutdown request
postgres | 2025-08-13 00:45:46.068 | .2025-08-12 19:15:46.067 UTC [41] LOG:  aborting any active transactions
postgres | 2025-08-13 00:45:46.083 | 2025-08-12 19:15:46.075 UTC [41] LOG:  background worker "logical replication launcher" (PID 47) exited with exit code 1
postgres | 2025-08-13 00:45:46.083 | 2025-08-12 19:15:46.083 UTC [42] LOG:  shutting down
postgres | 2025-08-13 00:45:46.087 | 2025-08-12 19:15:46.086 UTC [42] LOG:  checkpoint starting: shutdown immediate
postgres | 2025-08-13 00:45:46.616 | 2025-08-12 19:15:46.615 UTC [42] LOG:  checkpoint complete: wrote 921 buffers (5.6%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.137 s, sync=0.372 s, total=0.533 s; sync files=301, longest=0.074 s, average=0.002 s; distance=4239 kB, estimate=4239 kB
postgres | 2025-08-13 00:45:46.629 | 2025-08-12 19:15:46.629 UTC [41] LOG:  database system is shut down
postgres | 2025-08-13 00:45:46.689 |  done
postgres | 2025-08-13 00:45:46.689 | server stopped
postgres | 2025-08-13 00:45:46.693 | 
postgres | 2025-08-13 00:45:46.693 | PostgreSQL init process complete; ready for start up.
postgres | 2025-08-13 00:45:46.693 | 
postgres | 2025-08-13 00:45:46.793 | 2025-08-12 19:15:46.792 UTC [1] LOG:  starting PostgreSQL 15.13 on x86_64-pc-linux-musl, compiled by gcc (Alpine 14.2.0) 14.2.0, 64-bit
postgres | 2025-08-13 00:45:46.793 | 2025-08-12 19:15:46.792 UTC [1] LOG:  listening on IPv4 address "0.0.0.0", port 5432
postgres | 2025-08-13 00:45:46.793 | 2025-08-12 19:15:46.792 UTC [1] LOG:  listening on IPv6 address "::", port 5432
postgres | 2025-08-13 00:45:46.806 | 2025-08-12 19:15:46.805 UTC [1] LOG:  listening on Unix socket "/var/run/postgresql/.s.PGSQL.5432"
postgres | 2025-08-13 00:45:46.823 | 2025-08-12 19:15:46.823 UTC [59] LOG:  database system was shut down at 2025-08-12 19:15:46 UTC
postgres | 2025-08-13 00:45:46.837 | 2025-08-12 19:15:46.837 UTC [1] LOG:  database system is ready to accept connections
app      | 2025-08-13 00:45:47.208 | 
app      | 2025-08-13 00:45:47.208 | > rest-express@1.0.0 start
